"","geneSymbol","cluster"
"567","Alg8",3
"568","Alg9",1
"569","Alk",8
"570","Alkbh1",3
"571","Alkbh2",4
"572","Alkbh3",4
"573","Alkbh5",1
"574","Alkbh6",7
"575","Alkbh7",9
"576","Alms1",7
"577","Alox15",7
"578","Alox8",9
"579","Alpk2",9
"580","Alpk3",9
"581","Als2",7
"582","Als2cl",8
"583","Alx1",3
"584","Alx4",4
"585","Alyref",3
"586","Alyref2",1
"587","Amacr",1
"588","Ambra1",7
"589","Amer1",3
"590","Amer2",3
"591","Amer3",7
"592","Amhr2",3
"593","Amigo1",9
"594","Amigo2",7
"595","Ammecr1",1
"596","Amn1",2
"597","Amot",8
"598","Ampd3",6
"599","Amph",3
"600","Amz2",3
"601","Anapc2",3
"602","Anapc7",1
"603","Angpt1",1
"604","Angpt2",1
"605","Angptl2",6
"606","Angptl4",5
"607","Ank",1
"608","Ank1",1
"609","Ank2",2
"610","Ank3",1
"611","Ankhd1",3
"612","Ankmy2",1
"613","Ankrd1",4
"614","Ankrd10",3
"615","Ankrd11",3
"616","Ankrd13a",9
"617","Ankrd13c",1
"618","Ankrd13d",7
"619","Ankrd24",1
"620","Ankrd26",3
"621","Ankrd27",3
"622","Ankrd29",4
"623","Ankrd33b",9
"624","Ankrd34a",1
"625","Ankrd37",4
"626","Ankrd40",9
"627","Ankrd42",3
"628","Ankrd46",4
"629","Ankrd49",3
"630","Ankrd50",3
"631","Ankrd9",1
"632","Anks1",7
"633","Anks1b",3
"634","Anks6",7
"635","Ankzf1",4
"636","Ano5",3
"637","Ano6",1
"638","Ano8",2
"639","Anp32a",6
"640","Anp32b",3
"641","Anp32e",1
"642","Antxr2",1
"643","Anxa11",2
"644","Anxa2",6
"645","Anxa5",1
"646","Anxa6",1
"647","Anxa9",2
"648","Aoc2",7
"649","Aoc3",9
"650","Aox4",4
"651","Ap1ar",7
"652","Ap1b1",9
"653","Ap1g2",7
"654","Ap1s1",1
"655","Ap1s2",8
"656","Ap2a1",1
"657","Ap2s1",4
"658","Ap3b2",1
"659","Ap3d1",8
"660","Ap3m1",4
"661","Ap3m2",4
"662","Ap3s2",5
"663","Ap4b1",9
"664","Ap5b1",1
"665","Ap5s1",1
"666","Ap5z1",7
"667","Apaf1",3
"668","Apba1",9
"669","Apba3",1
"670","Apbb1",4
"671","Apbb1ip",6
"672","Apc2",6
"673","Apcdd1",7
"674","Apeh",5
"675","Apex1",3
"676","Apex2",7
"677","Aph1a",1
"678","Aph1b",4
"679","Api5",3
"680","Apitd1",3
"681","Aplf",7
"682","Apln",6
"683","Aplnr",3
"684","Aplp1",4
"685","Aplp2",9
"686","Apmap",1
"687","Apoa1",4
"688","Apoa1bp",1
"689","Apob",4
"690","Apobec2",1
"691","Apobec3",6
"692","Apobr",3
"693","Apoe",3
"694","Apold1",1
"695","Apoo",1
"696","Apool",1
"697","Aqp11",1
"698","Aqp3",3
"699","Aqp4",6
"700","Aqp7",3
"701","Aqr",3
"702","Ar",3
"703","Araf",9
"704","Arap1",6
"705","Arap3",6
"706","Arel1",1
"707","Arf1",1
"708","Arf2",9
"709","Arf3",1
"710","Arf5",4
"711","Arfgap1",1
"712","Arfgap2",5
"713","Arfgap3",1
"714","Arfip1",1
"715","Arfrp1",7
"716","Arg1",3
"717","Arglu1",3
"718","Arhgap1",9
"719","Arhgap12",3
"720","Arhgap17",3
"721","Arhgap18",4
"722","Arhgap21",2
"723","Arhgap24",2
"724","Arhgap26",4
"725","Arhgap29",6
"726","Arhgap31",1
"727","Arhgap39",3
"728","Arhgap4",7
"729","Arhgap42",3
"730","Arhgap44",9
"731","Arhgap5",4
"732","Arhgap6",9
"733","Arhgdia",7
"734","Arhgdib",1
"735","Arhgef10l",4
"736","Arhgef12",4
"737","Arhgef15",4
"738","Arhgef16",2
"739","Arhgef18",3
"740","Arhgef19",6
"741","Arhgef25",7
"742","Arhgef26",3
"743","Arhgef28",6
"744","Arhgef3",1
"745","Arhgef37",1
"746","Arhgef39",1
"747","Arhgef4",1
"748","Arhgef6",1
"749","Arhgef7",1
"750","Arhgef9",2
"751","Arid1b",3
"752","Arid3b",7
"753","Arid3c",3
"754","Arid5b",1
"755","Arih2",6
"756","Arl1",1
"757","Arl10",3
"758","Arl13b",3
"759","Arl14ep",3
"760","Arl16",1
"761","Arl2",1
"762","Arl4a",9
"763","Arl4c",3
"764","Arl5a",4
"765","Arl5b",3
"766","Arl5c",1
"767","Arl6ip1",5
"768","Arl6ip5",1
"769","Arl6ip6",3
"770","Armc1",1
"771","Armc10",3
"772","Armc8",9
"773","Armc9",7
"774","Armcx1",2
"775","Armcx3",1
"776","Armcx4",4
"777","Armcx6",1
"778","Arnt",4
"779","Arnt2",3
"780","Arntl",1
"781","Arpc1a",7
"782","Arpc2",1
"783","Arpc3",4
"784","Arpc5",9
"785","Arpin",2
"786","Arr3",1
"787","Arrb2",7
"788","Arrdc1",3
"789","Arrdc4",1
"790","Arsa",3
"791","Arsb",6
"792","Arsk",3
"793","Art1",4
"794","Art3",1
"795","Art4",1
