"","geneSymbol","cluster"
"595","Ano6",1
"596","Anp32a",6
"597","Anp32b",5
"598","Antxr2",1
"599","Anxa11",9
"600","Anxa2",6
"601","Anxa3",9
"602","Anxa5",1
"603","Anxa6",1
"604","Anxa9",2
"605","Aoc2",5
"606","Aoc3",7
"607","Aox4",4
"608","Ap1ar",8
"609","Ap1b1",7
"610","Ap1g2",5
"611","Ap1s1",4
"612","Ap1s2",8
"613","Ap2a1",1
"614","Ap3b2",1
"615","Ap3d1",8
"616","Ap3m1",4
"617","Ap3m2",4
"618","Ap3s2",7
"619","Ap5b1",1
"620","Ap5s1",1
"621","Apaf1",2
"622","Apba3",1
"623","Apbb1",4
"624","Apbb1ip",6
"625","Apbb2",9
"626","Apcdd1",3
"627","Apeh",7
"628","Apex1",2
"629","Aph1a",1
"630","Api5",5
"631","Apitd1",3
"632","Aplf",8
"633","Apln",6
"634","Aplnr",5
"635","Aplp1",4
"636","Aplp2",7
"637","Apmap",1
"638","Apoa1",4
"639","Apoa1bp",4
"640","Apob",4
"641","Apobec2",1
"642","Apobec3",6
"643","Apobr",5
"644","Apoe",5
"645","Apold1",4
"646","Apoo",4
"647","Apool",1
"648","App",9
"649","Aqp4",4
"650","Aqp7",3
"651","Aqr",5
"652","Ar",5
"653","Araf",7
"654","Arap1",9
"655","Arc",8
"656","Arel1",4
"657","Arf1",4
"658","Arf2",8
"659","Arf3",1
"660","Arf5",4
"661","Arfgap1",4
"662","Arfgap2",7
"663","Arfgap3",1
"664","Arfip1",1
"665","Arfrp1",8
"666","Arg1",5
"667","Arglu1",3
"668","Arhgap1",7
"669","Arhgap12",2
"670","Arhgap17",5
"671","Arhgap18",4
"672","Arhgap21",2
"673","Arhgap24",2
"674","Arhgap26",4
"675","Arhgap29",6
"676","Arhgap31",1
"677","Arhgap39",5
"678","Arhgap4",5
"679","Arhgap42",5
"680","Arhgap44",1
"681","Arhgap5",4
"682","Arhgap6",7
"683","Arhgdia",3
"684","Arhgdib",1
"685","Arhgef10l",4
"686","Arhgef12",4
"687","Arhgef15",4
